"Field","Type","Collation","Null","Key","Default","Extra","Privileges","Comment"
"id","int unsigned","","NO","PRI","","auto_increment","select,insert,update,references",""
"created_at","timestamp","","NO","","CURRENT_TIMESTAMP","DEFAULT_GENERATED","select,insert,update,references",""
"sort_order","int unsigned","","YES","UNI","","","select,insert,update,references",""
"long_name","varchar(255)","utf8mb4_0900_ai_ci","NO","","","","select,insert,update,references",""
"short_name","varchar(255)","utf8mb4_0900_ai_ci","NO","","","","select,insert,update,references",""
"abbreviation","varchar(255)","utf8mb4_0900_ai_ci","NO","UNI","","","select,insert,update,references",""
"currency_type","enum('Airline','Cash','Cruise','Hotel','Other','Retail','Transferrable')","utf8mb4_0900_ai_ci","NO","","","","select,insert,update,references","Transferrable, point or mile"
"unit_type","enum('Cash','Mile','Point')","utf8mb4_0900_ai_ci","NO","","","","select,insert,update,references","Point or mile"
"base_median_cpp","double","","YES","","","","select,insert,update,references",""
"base_average_cpp","double","","YES","","","","select,insert,update,references",""
