"Field","Type","Collation","Null","Key","Default","Extra","Privileges","Comment"
"id","int unsigned","","NO","PRI","","auto_increment","select,insert,update,references",""
"created_at","timestamp","","NO","","CURRENT_TIMESTAMP","DEFAULT_GENERATED","select,insert,update,references",""
"from_loyalty_program_id","int unsigned","","NO","MUL","","","select,insert,update,references","The loyalty program from which transferred points originate"
"to_loyalty_program_id","int unsigned","","NO","MUL","","","select,insert,update,references","The loyalty program to which transferred points arrive"
"base_numerator","bigint unsigned","","NO","","","","select,insert,update,references","The fully reduced numerator of the conversion ratio "
"base_denominator","bigint unsigned","","NO","MUL","","","select,insert,update,references","The fully reduced denominator of the conversion ratio "
"base_decimal_expression","decimal(30,15)","","YES","","","STORED GENERATED","select,insert,update,references",""
"transfer_speed_hours","smallint unsigned","","YES","MUL","0","","select,insert,update,references","The quoted or observed speed in which transfers are processed, in hours. A transfer speed of 0 represents an instantaneous transfer speed"
"transfer_speed_display","varchar(32)","utf8mb4_0900_ai_ci","YES","","","STORED GENERATED","select,insert,update,references",""
"transfer_min_qty","smallint unsigned","","YES","","","","select,insert,update,references","The minimum amount of origin currency to complete a transfer"
"transfer_max_qty","mediumint unsigned","","YES","","","","select,insert,update,references","The maximum amount of origin currency allowed to transfer at a time"
"transfer_unit","smallint unsigned","","YES","","","","select,insert,update,references","The smallest increment of currency that a transfer amount can be adjusted by"
"transfer_bonus_amount","varchar(255)","utf8mb4_0900_ai_ci","YES","","","","select,insert,update,references","The quantity of destination currency that is provided as an additional transfer bonus, when the transfer bonus unit is met"
"transfer_bonus_unit","varchar(255)","utf8mb4_0900_ai_ci","YES","","","","select,insert,update,references","The quantity of origin currency that must be transferred to realize a transfer bonus"
"is_active","tinyint(1)","","NO","","","","select,insert,update,references","Whether or not the partnership is currently active"
"availability","enum('Public','Limited','Targeted')","utf8mb4_0900_ai_ci","NO","","Public","","select,insert,update,references","Whether the transfer is available to the public, restricted to a defined group, or targeted"
"notes","varchar(2048)","utf8mb4_0900_ai_ci","YES","","","","select,insert,update,references",""
"source_url","varchar(2048)","utf8mb4_0900_ai_ci","NO","","","","select,insert,update,references","The primary source describing the transfer partner relationship"
